Datetime	        Return	        TC	        PWMA	        CFO
2025-08-04 00:00:00	0.007479	0.647753	116189.210342	1.519530
2025-08-05 00:00:00	-0.008086	0.537205	115042.061829	1.032101
2025-08-06 00:00:00	0.007767	0.406238	114220.177444	1.400065
2025-08-07 00:00:00	0.021463	0.301424	113988.832581	2.413693
2025-08-08 00:00:00	-0.006878	0.225516	114228.462891	0.891965
2025-08-09 00:00:00	-0.001614	0.146950	114688.888489	-0.101784
2025-08-10 00:00:00	0.024089	0.077401	115268.809341	0.913033
2025-08-11 00:00:00	-0.004822	0.037283	115932.520676	-0.172311
2025-08-12 00:00:00	0.012141	0.007172	116598.685120	0.394538
2025-08-13 00:00:00	0.026388	0.006626	117257.650574	1.512802
2025-08-14 00:00:00	-0.040411	0.055741	118009.675308	-2.407065
2025-08-15 00:00:00	-0.008121	0.152093	118886.099518	-2.421840
2025-08-16 00:00:00	0.000792	0.116065	119690.130676	-1.544771
2025-08-17 00:00:00	-0.000326	0.025155	120039.521790	-1.076362
2025-08-18 00:00:00	-0.010223	0.020989	119684.093979	-1.119876
2025-08-19 00:00:00	-0.029429	0.013029	118822.657333	-2.095352
2025-08-20 00:00:00	0.012794	0.003615	117890.384506	0.155812
2025-08-21 00:00:00	-0.016239	0.002993	117038.438309	-0.086554
2025-08-22 00:00:00	0.039629	0.002825	116116.068130	3.222683
2025-08-23 00:00:00	-0.012832	0.012197	115134.014130	1.195573
2025-08-24 00:00:00	-0.016606	0.024272	114426.102097	-0.176112
2025-08-25 00:00:00	-0.029386	0.052093	114263.742111	-1.925558
2025-08-26 00:00:00	0.015240	0.049295	114442.434189	-0.021432
2025-08-27 00:00:00	-0.005193	0.058823	114383.892899	-0.259283
2025-08-28 00:00:00	0.011893	0.059656	113725.828537	0.705379
2025-08-29 00:00:00	-0.036732	0.094833	112720.934708	-1.540896
2025-08-30 00:00:00	0.003664	0.119032	111894.227554	-0.248795
2025-08-31 00:00:00	-0.005251	0.154517	111397.206314	0.398039
2025-09-01 00:00:00	0.009367	0.170517	110925.794891	1.142522
2025-09-02 00:00:00	0.017849	0.199354	110241.001205	1.989378
2025-09-03 00:00:00	0.004700	0.237616	109533.441147	1.542920
2025-09-04 00:00:00	-0.008947	0.274673	109209.121704	0.569572
2025-09-05 00:00:00	-0.000656	0.300339	109453.597473	0.168644
2025-09-06 00:00:00	-0.003853	0.330446	110060.445602	-0.372464
2025-09-07 00:00:00	0.008555	0.395767	110619.260132	-0.254729
2025-09-08 00:00:00	0.008130	0.495471	110860.271759	0.218195
2025-09-09 00:00:00	-0.004826	0.560419	110847.153778	-0.327604
2025-09-10 00:00:00	0.021741	0.610220	110846.857864	1.242163
2025-09-11 00:00:00	0.013621	0.664560	111060.700699	1.642067
2025-09-12 00:00:00	0.005143	0.683510	111533.776718	1.004160
2025-09-13 00:00:00	-0.001301	0.666799	112261.692749	-0.082051
2025-09-14 00:00:00	-0.004682	0.610225	113224.968872	-0.979027
2025-09-15 00:00:00	0.000322	0.520285	114271.602509	-1.149791
